topicid,type,qsid,qcount,qid,options,key,uid,ans,correct,mid,topicname,userid,user,name,group
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,449,3,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,449,7,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,449,11,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,449,15,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,449,19,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,449,21,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,449,26,0,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,449,30,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,449,35,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,449,40,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,449,42,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,449,46,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,449,51,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,449,53,0,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,449,60,0,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,449,61,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,449,67,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,449,70,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,19,"75,74,73,76",73,449,73,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,20,"78,77,80,79",78,449,77,0,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,450,3,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,450,8,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,450,10,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,450,14,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,450,17,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,450,23,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,450,25,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,450,30,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,450,35,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,450,39,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,450,41,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,450,48,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,450,51,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,450,55,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,450,59,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,450,61,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,450,67,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,450,69,0,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,19,"75,74,73,76",73,450,73,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,20,"78,77,80,79",78,450,78,1,17,OOP-Concept Yarsi University,450,1402020088,547005ae21821,41
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,451,3,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,451,8,0,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,451,9,0,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,451,15,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
