"group","userid","user","pre_score","post_score","delay_score","map_score","feedbacks","stid","post_nc","post_ng","delay_nc","delay_ng","sm_score","activity_score"
"exp","469","1402020117",17,16,18,89.47,90,"1402020117",-0.0588235294117647,-0.333333333333333,0.333333333333333,0.333333333333333,NA,89.47
"exp","470","1402020039",9,9,17,32.89,0,"1402020039",0,0,0.727272727272727,0.727272727272727,NA,32.89
"exp","471","1402019098",12,13,18,96.05,127,"1402019098",0.125,0.125,0.75,0.75,NA,96.05
"exp","472","1402020052",9,14,12,81.58,160,"1402020052",0.454545454545455,0.454545454545455,0.272727272727273,0.272727272727273,NA,81.58
"exp","473","1402020124",10,8,12,13.16,82,"1402020124",-0.2,-0.2,0.2,0.2,NA,13.16
"exp","474","1402020025",15,14,10,26.32,136,"1402020025",-0.0666666666666667,-0.2,-0.333333333333333,-1,NA,26.32
"exp","476","1402020111",6,19,16,43.42,119,"1402020111",0.928571428571429,0.928571428571429,0.714285714285714,0.714285714285714,NA,43.42
"exp","477","1402020054",5,12,11,1.32,46,"1402020054",0.466666666666667,0.466666666666667,0.4,0.4,NA,1.32
"exp","477","1402020054",5,12,11,38.16,46,"1402020054",0.466666666666667,0.466666666666667,0.4,0.4,NA,38.16
"exp","478","1402020007",8,6,7,47.37,80,"1402020007",-0.25,-0.166666666666667,-0.125,-0.0833333333333333,NA,47.37
"exp","479","1402019038",12,11,12,35.53,124,"1402019038",-0.0833333333333333,-0.125,0,0,NA,35.53
"exp","480","1402020067",12,18,10,47.37,50,"1402020067",0.75,0.75,-0.166666666666667,-0.25,NA,47.37
"exp","483","1402019099",6,6,10,19.74,81,"1402019099",0,0,0.285714285714286,0.285714285714286,NA,19.74
"exp","485","1402020064",7,9,7,36.84,68,"1402020064",0.153846153846154,0.153846153846154,0,0,NA,36.84
"exp","486","1402019046",11,16,16,67.11,17,"1402019046",0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,NA,67.11
"exp","487","1402019021",8,12,13,9.21,33,"1402019021",0.333333333333333,0.333333333333333,0.416666666666667,0.416666666666667,NA,9.21
"exp","488","1402020128",8,8,6,9.21,0,"1402020128",0,0,-0.25,-0.166666666666667,NA,9.21
"exp","490","1402020072",12,14,9,38.16,17,"1402020072",0.25,0.25,-0.25,-0.375,NA,38.16
"exp","491","1402017066",9,10,13,63.16,103,"1402017066",0.0909090909090909,0.0909090909090909,0.363636363636364,0.363636363636364,NA,63.16
"exp","492","1402017065",11,10,9,31.58,2,"1402017065",-0.0909090909090909,-0.111111111111111,-0.181818181818182,-0.222222222222222,NA,31.58
"exp","493","1402017036",8,9,6,17.11,2,"1402017036",0.0833333333333333,0.0833333333333333,-0.25,-0.166666666666667,NA,17.11
"exp","496","1402020066",4,11,10,31.58,0,"1402020066",0.4375,0.4375,0.375,0.375,NA,31.58
"exp","501","1402018056",8,4,NA,22.37,0,"1402018056",-0.5,-0.333333333333333,NA,NA,NA,22.37
"exp","502","1402018187",7,6,11,14.47,26,"1402018187",-0.142857142857143,-0.0769230769230769,0.307692307692308,0.307692307692308,NA,14.47
